time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
26.0,1.4317446658184008e-05,0.0009080052626566914,0.9989631105549256,0.00011447570813020874,1.9470441759965405e-08,8.833640307645006e-09,8.073339438198539e-09,9.669841719523056e-11,5.057312713083835e-09,2.4599855024559023e-09,1.8681269815249753e-08,2.0133646104351415e-08,8.221320763894265e-09
26.5,0.00011680058355654558,0.00455586922144979,0.9951998859340012,0.00012731769227209192,2.533545507134833e-08,2.519259739355777e-08,1.4928759024718714e-08,1.3157617969606848e-10,5.764295736840611e-09,2.7091056185170185e-09,2.2657070673696427e-08,2.616858056950131e-08,3.681339754477508e-09
27.0,3.3810973401940374e-05,0.049507265157067375,0.9504072664522585,5.147070655076382e-05,3.7421590011990047e-08,4.62200135731292e-08,4.195048733373777e-09,2.1839389487763053e-10,6.3006046704402e-09,1.6459547227434488e-09,3.3407359093847486e-08,4.5586309447361614e-08,1.171529480784123e-08
27.5,0.00010544285390706439,0.3911673790963741,0.6086527458333352,7.413551284374041e-05,5.397170534634853e-08,8.832852055104463e-08,4.715598896661685e-09,3.9995578497917156e-10,7.926902700056431e-09,2.0888424999952854e-09,4.4193722752945046e-08,8.95377056400962e-08,5.5405402658140436e-09
28.0,5.524488919404651e-05,0.7287108251840195,0.2712086431860082,2.466924911148587e-05,6.018049810337171e-08,2.461034887275553e-07,4.942622796299825e-09,5.618539032577541e-10,1.6679752350905787e-08,2.4741422277315925e-09,4.3003237932083774e-08,2.4069865210167e-07,2.8475443623466132e-09
28.5,0.003199419681816185,0.22759168858415493,0.7663980616936518,0.002809813941548646,7.58479425879684e-08,5.062259584526225e-07,3.0866438583063206e-09,6.8075496644374185e-09,1.5575662099422916e-08,3.5557232982197655e-10,4.010622092950936e-08,3.649163892369974e-07,3.176972814092052e-09
29.0,0.0008526720711309667,0.6649394114567835,0.33363676657123514,0.0005695124712915403,9.553519830409614e-08,1.0703747317579167e-06,3.302735559388486e-09,1.5725651539768175e-08,1.0189426769724068e-08,3.217463598375753e-10,4.751065501297276e-08,3.922375122302902e-07,2.2318195914571116e-09
29.5,0.00012854376314668268,0.7738331349773722,0.22574970021264673,0.00028748409494212004,6.937163848406132e-08,5.974288169798252e-07,2.080310239906629e-09,1.4312279011745211e-08,4.802671369936672e-08,2.4595582654900784e-10,3.166711673979542e-08,3.7194217162880176e-07,1.8769043022556824e-09
30.0,4.0740683813550644e-05,0.8443216876982218,0.1555043894758305,0.0001307347467938559,4.264125647154264e-08,1.3076227084259284e-06,9.659604103044221e-10,2.980250951142893e-08,5.548349886253522e-08,5.26189616144057e-10,9.611297804040076e-09,9.999711945359703e-07,7.708261960031677e-10
30.5,1.5332335908557888e-06,0.9102462201876921,0.08972918207071116,1.8824900885011184e-05,1.8780534911233245e-08,2.275226774353729e-06,5.6806400112724224e-11,3.364233139907854e-08,5.91860201272849e-08,6.763139536642526e-10,1.4601121699894682e-08,1.8373705493690027e-06,6.659541197785017e-11
