S0,S1,S2,S3,T1,T2,T3,time_fs
0.8863909564380086,0.11227669186994296,0.0011649688456041786,2.2261292413029916e-06,0.00013552026025386574,2.9555311816238995e-05,8.11450878978632e-08,35.0
0.8879331239127807,0.11155731542499416,0.00025675812812286,9.736157858683628e-05,0.00011837210191005476,3.699190534672772e-05,7.694827367051069e-08,35.5
0.8889470660420007,0.11070439504534643,0.0001931491846132638,1.2940150502270672e-05,9.965513136020174e-05,4.269867773993211e-05,9.576845541287283e-08,36.0
0.8905088930884931,0.10924641036499319,0.00011141484002519735,1.1978096641910626e-05,8.486499466651771e-05,3.638060712602156e-05,5.800805813807337e-08,36.5
0.8903027884547569,0.10956646201796927,2.8982191436470816e-05,3.4145735327625317e-06,7.53261120304226e-05,2.2974474869616418e-05,5.217537512726559e-08,37.0
0.8901260810588867,0.10978532397476698,7.125342685616531e-06,2.6024102912332903e-06,6.915408329767786e-05,9.66292565194248e-06,5.020432478228683e-08,37.5
0.8958549493886241,0.10406977237564743,7.0907744632740475e-06,1.2496253724675749e-06,6.482448719692945e-05,2.0556267426985846e-06,5.7721956102393265e-08,38.0
0.9401210476261735,0.059791650013553355,1.8220962751030423e-05,5.443129017272528e-06,6.249649895280094e-05,1.0842854455324462e-06,5.74840808201801e-08,38.5
0.9764703199233646,0.02345714423339203,5.057212792621296e-06,2.2887352281644325e-06,6.291076700157886e-05,2.1673018767245554e-06,1.118263156738323e-07,39.0
0.9851996955370519,0.014726296706351413,8.03924092678014e-06,4.264714380607945e-06,5.9885341725558536e-05,1.7178796536293547e-06,1.0057990678990819e-07,39.5
0.9879721403710392,0.011952876776078047,1.0008181964058699e-05,6.8893745126794216e-06,5.737948816541107e-05,5.581151823981483e-07,1.4769302399147724e-07,40.0
0.9893765029960809,0.010539759421081485,1.9037314395093456e-05,8.988436552391636e-06,5.496311068966334e-05,6.43562433427965e-07,1.0515873243164082e-07,40.5
